HITId,Input.index,Input.prompt_id,Input.image_id,Input.image_url,Input.caption,Input.object_0_name,Input.object_1_name,Input.object_0_name_plural,Input.object_1_name_plural,Input.exclude,Answer.ee,Answer.task-color-0,Answer.task-color-1,Answer.task-count-0,Answer.task-count-1,Answer.task-objects,Answer.task-position-x,Answer.task-position-y,Answer.task-quality,Answer.task-real-0,Answer.task-real-1
37Y5RYYI13KRYFRWBG2JVMAM0Z5SX7,220_2,220,2,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00220/samples/00002.png,a photo of four donuts,donut,,donuts,,"object-1,position",33.49,red|yellow|blue|black|white,,5,,doughnuts,,,3,3.0,
37Y5RYYI13KRYFRWBG2JVMAM0Z5SX7,220_2,220,2,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00220/samples/00002.png,a photo of four donuts,donut,,donuts,,"object-1,position",29.22,red|orange|yellow|blue|pink|black|white,,5,,"donut, donut, donut, donut, donut",,,3,3.0,
37Y5RYYI13KRYFRWBG2JVMAM0Z5SX7,220_2,220,2,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00220/samples/00002.png,a photo of four donuts,donut,,donuts,,"object-1,position",51.483,red|yellow|blue|pink|black,,5,,donuts,,,3,3.0,
37Y5RYYI13KRYFRWBG2JVMAM0Z5SX7,220_2,220,2,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00220/samples/00002.png,a photo of four donuts,donut,,donuts,,"object-1,position",25.762,yellow|blue|brown|black|white,,5,,donuts,,,3,3.0,
37Y5RYYI13KRYFRWBG2JVMAM0Z5SX7,220_2,220,2,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00220/samples/00002.png,a photo of four donuts,donut,,donuts,,"object-1,position",29.003,red|yellow|blue|black|white,,5,,donuts,,,3,3.0,
3PGQRAZX1GZGYKH6GCOLE0HV25ZSYD,103_0,103,0,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00103/samples/00000.png,a photo of a broccoli and a parking meter,broccoli,parking meter,broccolis,parking meters,,66.83,green,,1,0.0,tree,,,3,2.0,
3PGQRAZX1GZGYKH6GCOLE0HV25ZSYD,103_0,103,0,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00103/samples/00000.png,a photo of a broccoli and a parking meter,broccoli,parking meter,broccolis,parking meters,,34.906,,,0,0.0,"woman, dress, purse, tree, sidewalk, building",neither_x,neither_y,1,,
3PGQRAZX1GZGYKH6GCOLE0HV25ZSYD,103_0,103,0,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00103/samples/00000.png,a photo of a broccoli and a parking meter,broccoli,parking meter,broccolis,parking meters,,767.214,,,0,0.0,"person, tree",,,1,,
3PGQRAZX1GZGYKH6GCOLE0HV25ZSYD,103_0,103,0,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00103/samples/00000.png,a photo of a broccoli and a parking meter,broccoli,parking meter,broccolis,parking meters,,30.952,,,0,0.0,"person, tree",,,1,,
3PGQRAZX1GZGYKH6GCOLE0HV25ZSYD,103_0,103,0,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00103/samples/00000.png,a photo of a broccoli and a parking meter,broccoli,parking meter,broccolis,parking meters,,41.14,,,0,0.0,"girl, tree, building",,,1,,
3XEIP58NME2TZXWLSPT3GLC2G5VZLX,328_1,328,1,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00328/samples/00001.png,a photo of a white teddy bear,teddy bear,,teddy bears,,"object-1,position",19.842,white,,1,,teddy bear,,,4,3.0,
3XEIP58NME2TZXWLSPT3GLC2G5VZLX,328_1,328,1,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00328/samples/00001.png,a photo of a white teddy bear,teddy bear,,teddy bears,,"object-1,position",44.696,white,,1,,teddy bears,,,4,2.0,
3XEIP58NME2TZXWLSPT3GLC2G5VZLX,328_1,328,1,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00328/samples/00001.png,a photo of a white teddy bear,teddy bear,,teddy bears,,"object-1,position",16.843,white,,1,,teddy bear,,,4,3.0,
3XEIP58NME2TZXWLSPT3GLC2G5VZLX,328_1,328,1,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00328/samples/00001.png,a photo of a white teddy bear,teddy bear,,teddy bears,,"object-1,position",44.769,white,,1,,teddy bear,,,4,3.0,
3XEIP58NME2TZXWLSPT3GLC2G5VZLX,328_1,328,1,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00328/samples/00001.png,a photo of a white teddy bear,teddy bear,,teddy bears,,"object-1,position",17.116,black|white,,1,,a photo of a teddy bear,,,4,3.0,
3L55D8AUGOC0R3SAJQYLZVDDG2ECY4,208_1,208,1,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00208/samples/00001.png,a photo of three zebras,zebra,,zebras,,"object-1,position",36.883,black|white,,3,,zebras,,,4,3.0,
3L55D8AUGOC0R3SAJQYLZVDDG2ECY4,208_1,208,1,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00208/samples/00001.png,a photo of three zebras,zebra,,zebras,,"object-1,position",18.661,black|white,,3,,zebras,,,4,3.0,
3L55D8AUGOC0R3SAJQYLZVDDG2ECY4,208_1,208,1,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00208/samples/00001.png,a photo of three zebras,zebra,,zebras,,"object-1,position",20.778,black|white,,3,,zebra,,,4,3.0,
3L55D8AUGOC0R3SAJQYLZVDDG2ECY4,208_1,208,1,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00208/samples/00001.png,a photo of three zebras,zebra,,zebras,,"object-1,position",28.185,black|white,,3,,three zebras nuzzling their snouts together.,,,4,3.0,
3L55D8AUGOC0R3SAJQYLZVDDG2ECY4,208_1,208,1,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00208/samples/00001.png,a photo of three zebras,zebra,,zebras,,"object-1,position",72.461,black|white,,3,,"zebra, zebra, zebra",,,4,3.0,
30Z7M1Q8VCZXJI4UM840UNZNNKQA8M,232_2,232,2,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00232/samples/00002.png,a photo of two trucks,truck,,trucks,,"object-1,position",26.648,red|black|white,,2,,truck,,,4,3.0,
30Z7M1Q8VCZXJI4UM840UNZNNKQA8M,232_2,232,2,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00232/samples/00002.png,a photo of two trucks,truck,,trucks,,"object-1,position",51.422,red|white,,2,,truck,,,4,3.0,
30Z7M1Q8VCZXJI4UM840UNZNNKQA8M,232_2,232,2,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00232/samples/00002.png,a photo of two trucks,truck,,trucks,,"object-1,position",40.871,brown|white,,2,,TRUCKS,,,4,3.0,
30Z7M1Q8VCZXJI4UM840UNZNNKQA8M,232_2,232,2,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00232/samples/00002.png,a photo of two trucks,truck,,trucks,,"object-1,position",29.105,brown|white,,2,,trucks,,,4,3.0,
30Z7M1Q8VCZXJI4UM840UNZNNKQA8M,232_2,232,2,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00232/samples/00002.png,a photo of two trucks,truck,,trucks,,"object-1,position",20.336,red|white,,2,,TRUKS,,,4,3.0,
3M67TQBQRV3XXNN4R0AEUJUY7Q8A9B,108_2,108,2,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00108/samples/00002.png,a photo of a skateboard and a sink,skateboard,sink,skateboards,sinks,,32.904,,white,0,1.0,"sink, soap dispenser",,,3,,3.0
3M67TQBQRV3XXNN4R0AEUJUY7Q8A9B,108_2,108,2,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00108/samples/00002.png,a photo of a skateboard and a sink,skateboard,sink,skateboards,sinks,,51.742,,white,0,2.0,Sinks,,,1,,3.0
3M67TQBQRV3XXNN4R0AEUJUY7Q8A9B,108_2,108,2,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00108/samples/00002.png,a photo of a skateboard and a sink,skateboard,sink,skateboards,sinks,,48.008,,white,0,1.0,sink,,,3,,3.0
3M67TQBQRV3XXNN4R0AEUJUY7Q8A9B,108_2,108,2,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00108/samples/00002.png,a photo of a skateboard and a sink,skateboard,sink,skateboards,sinks,,28.79,,white,0,1.0,"faucet, sink, soap dispenser",,,2,,3.0
3M67TQBQRV3XXNN4R0AEUJUY7Q8A9B,108_2,108,2,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00108/samples/00002.png,a photo of a skateboard and a sink,skateboard,sink,skateboards,sinks,,28.926,,white,0,1.0,"Sink, faucet, soap dispenser",,,3,,3.0
3NOEP8XAVIHULNB4JZYP0H5BDFYXPW,252_1,252,1,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00252/samples/00001.png,a photo of three cows,cow,,cows,,"object-1,position",17.758,brown|white,,3,,cows,,,4,3.0,
3NOEP8XAVIHULNB4JZYP0H5BDFYXPW,252_1,252,1,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00252/samples/00001.png,a photo of three cows,cow,,cows,,"object-1,position",27.194,brown,,3,,cows,,,4,3.0,
3NOEP8XAVIHULNB4JZYP0H5BDFYXPW,252_1,252,1,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00252/samples/00001.png,a photo of three cows,cow,,cows,,"object-1,position",174.602,orange|brown|white|gray,,3,,"cow 1, cow2, cow3, trees, grass",,,4,3.0,
3NOEP8XAVIHULNB4JZYP0H5BDFYXPW,252_1,252,1,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00252/samples/00001.png,a photo of three cows,cow,,cows,,"object-1,position",18.661,brown|white,,3,,cows,,,4,3.0,
3NOEP8XAVIHULNB4JZYP0H5BDFYXPW,252_1,252,1,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00252/samples/00001.png,a photo of three cows,cow,,cows,,"object-1,position",29.925,brown|white,,3,,"cows, trees",,,4,3.0,
3X4Q1O9UCV1IL8TCMMHCHINX1HO7OV,469_0,469,0,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00469/samples/00000.png,a photo of a black kite and a green bear,kite,bear,kites,bears,,44.284,,black,0,1.0,"bear, bird, butterfly, flower, plant",,,2,,2.0
3X4Q1O9UCV1IL8TCMMHCHINX1HO7OV,469_0,469,0,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00469/samples/00000.png,a photo of a black kite and a green bear,kite,bear,kites,bears,,93.506,green,black,1,1.0,bears kites,right,below,4,3.0,3.0
3X4Q1O9UCV1IL8TCMMHCHINX1HO7OV,469_0,469,0,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00469/samples/00000.png,a photo of a black kite and a green bear,kite,bear,kites,bears,,41.777,,black,0,1.0,"bear, plants, kiwi",,,3,,3.0
3X4Q1O9UCV1IL8TCMMHCHINX1HO7OV,469_0,469,0,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00469/samples/00000.png,a photo of a black kite and a green bear,kite,bear,kites,bears,,159.388,,black,0,1.0,"bear, leaf, flowers, parrot, bird, butterfly",,,3,,3.0
3X4Q1O9UCV1IL8TCMMHCHINX1HO7OV,469_0,469,0,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00469/samples/00000.png,a photo of a black kite and a green bear,kite,bear,kites,bears,,97.075,black|white,black,2,1.0,kites  bears,right,neither_y,3,3.0,3.0
39XCQ6V3LCJD9Y9PYXGL2YNAPBZ56P,316_3,316,3,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00316/samples/00003.png,a photo of a yellow orange,orange,,oranges,,"object-1,position",116.63,orange|yellow,,1,,orange,,,4,3.0,
39XCQ6V3LCJD9Y9PYXGL2YNAPBZ56P,316_3,316,3,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00316/samples/00003.png,a photo of a yellow orange,orange,,oranges,,"object-1,position",30.536,orange,,1,,orange,,,4,3.0,
39XCQ6V3LCJD9Y9PYXGL2YNAPBZ56P,316_3,316,3,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00316/samples/00003.png,a photo of a yellow orange,orange,,oranges,,"object-1,position",15.257,orange|yellow|white,,1,,orange,,,3,3.0,
39XCQ6V3LCJD9Y9PYXGL2YNAPBZ56P,316_3,316,3,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00316/samples/00003.png,a photo of a yellow orange,orange,,oranges,,"object-1,position",67.045,orange|white,,1,,orange,,,3,3.0,
39XCQ6V3LCJD9Y9PYXGL2YNAPBZ56P,316_3,316,3,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00316/samples/00003.png,a photo of a yellow orange,orange,,oranges,,"object-1,position",123.615,yellow,,1,,orange,,,4,2.0,
3PA41K45W1J0685D1MUR6ISNBMK7PC,208_2,208,2,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00208/samples/00002.png,a photo of three zebras,zebra,,zebras,,"object-1,position",31.172,black|white|gray,,3,,zebras,,,4,3.0,
3PA41K45W1J0685D1MUR6ISNBMK7PC,208_2,208,2,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00208/samples/00002.png,a photo of three zebras,zebra,,zebras,,"object-1,position",30.03,black|white,,3,,zebras,,,4,3.0,
3PA41K45W1J0685D1MUR6ISNBMK7PC,208_2,208,2,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00208/samples/00002.png,a photo of three zebras,zebra,,zebras,,"object-1,position",55.794,black|white,,3,,zebras,,,4,2.0,
3PA41K45W1J0685D1MUR6ISNBMK7PC,208_2,208,2,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00208/samples/00002.png,a photo of three zebras,zebra,,zebras,,"object-1,position",22.777,black|white,,3,,zebras,,,4,3.0,
3PA41K45W1J0685D1MUR6ISNBMK7PC,208_2,208,2,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/clip/00208/samples/00002.png,a photo of three zebras,zebra,,zebras,,"object-1,position",159.001,black|white,,3,,zebras,,,4,3.0,
