HITId,Input.index,Input.prompt_id,Input.image_id,Input.image_url,Input.caption,Input.object_0_name,Input.object_1_name,Input.object_0_name_plural,Input.object_1_name_plural,Input.exclude,Answer.ee,Answer.task-color-0,Answer.task-color-1,Answer.task-count-0,Answer.task-count-1,Answer.task-objects,Answer.task-position-x,Answer.task-position-y,Answer.task-quality,Answer.task-real-0,Answer.task-real-1
3M7OI89LWC3Y8JI4D73TG4TKHSJ6CW,328_1,328,1,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/if-xl/00328/samples/00001.png,a photo of a white teddy bear,teddy bear,,teddy bears,,"object-1,position",32.616,white,,1,,teddy bear,,,4,3.0,
3M7OI89LWC3Y8JI4D73TG4TKHSJ6CW,328_1,328,1,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/if-xl/00328/samples/00001.png,a photo of a white teddy bear,teddy bear,,teddy bears,,"object-1,position",54.231,white,,1,,teddy,,,4,3.0,
3M7OI89LWC3Y8JI4D73TG4TKHSJ6CW,328_1,328,1,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/if-xl/00328/samples/00001.png,a photo of a white teddy bear,teddy bear,,teddy bears,,"object-1,position",134.448,black|white,,1,,teddy bear,,,4,3.0,
3M7OI89LWC3Y8JI4D73TG4TKHSJ6CW,328_1,328,1,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/if-xl/00328/samples/00001.png,a photo of a white teddy bear,teddy bear,,teddy bears,,"object-1,position",17.029,white,,1,,teddy bear,,,4,3.0,
3M7OI89LWC3Y8JI4D73TG4TKHSJ6CW,328_1,328,1,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/if-xl/00328/samples/00001.png,a photo of a white teddy bear,teddy bear,,teddy bears,,"object-1,position",16.358,white,,1,,teddy bear,,,4,3.0,
3MQY1YVHTHZRGD7XC5VVF76QJ2HB2D,220_2,220,2,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/if-xl/00220/samples/00002.png,a photo of four donuts,donut,,donuts,,"object-1,position",139.297,pink|brown,,4,,donuts,,,4,3.0,
3MQY1YVHTHZRGD7XC5VVF76QJ2HB2D,220_2,220,2,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/if-xl/00220/samples/00002.png,a photo of four donuts,donut,,donuts,,"object-1,position",77.41,pink|brown,,4,,donuts,,,4,3.0,
3MQY1YVHTHZRGD7XC5VVF76QJ2HB2D,220_2,220,2,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/if-xl/00220/samples/00002.png,a photo of four donuts,donut,,donuts,,"object-1,position",139.749,pink|brown,,4,,donut,,,4,3.0,
3MQY1YVHTHZRGD7XC5VVF76QJ2HB2D,220_2,220,2,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/if-xl/00220/samples/00002.png,a photo of four donuts,donut,,donuts,,"object-1,position",36.541,pink|brown,,4,,donut,,,4,3.0,
3MQY1YVHTHZRGD7XC5VVF76QJ2HB2D,220_2,220,2,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/if-xl/00220/samples/00002.png,a photo of four donuts,donut,,donuts,,"object-1,position",36.781,red|orange|yellow|green|blue|purple|pink|brown|white,,4,,donuts,,,4,3.0,
337F8MIINDS0Z4JAI3HUO575CCG40G,232_2,232,2,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/if-xl/00232/samples/00002.png,a photo of two trucks,truck,,trucks,,"object-1,position",42.34,red|yellow|blue|white|gray,,2,,TRUCKS,,,4,3.0,
337F8MIINDS0Z4JAI3HUO575CCG40G,232_2,232,2,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/if-xl/00232/samples/00002.png,a photo of two trucks,truck,,trucks,,"object-1,position",23.658,red|blue|black|white,,1,,trucks,,,3,3.0,
337F8MIINDS0Z4JAI3HUO575CCG40G,232_2,232,2,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/if-xl/00232/samples/00002.png,a photo of two trucks,truck,,trucks,,"object-1,position",53.863,red,,2,,truck,,,4,3.0,
