HITId,Input.index,Input.prompt_id,Input.image_id,Input.image_url,Input.caption,Input.object_0_name,Input.object_1_name,Input.object_0_name_plural,Input.object_1_name_plural,Input.exclude,Answer.ee,Answer.task-color-0,Answer.task-color-1,Answer.task-count-0,Answer.task-count-1,Answer.task-objects,Answer.task-position-x,Answer.task-position-y,Answer.task-quality,Answer.task-real-0,Answer.task-real-1
3U74KRR6800N1LQ7YAK07PFA046TNA,328_1,328,1,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/sdv2/00328/samples/00001.png,a photo of a white teddy bear,teddy bear,,teddy bears,,"object-1,position",80.13,white,,1,,"WHITE STUFFED BEAR TOY, BENCH",,,4,3.0,
3U74KRR6800N1LQ7YAK07PFA046TNA,328_1,328,1,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/sdv2/00328/samples/00001.png,a photo of a white teddy bear,teddy bear,,teddy bears,,"object-1,position",18.493,black|white,,1,,bear,,,4,3.0,
3U74KRR6800N1LQ7YAK07PFA046TNA,328_1,328,1,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/sdv2/00328/samples/00001.png,a photo of a white teddy bear,teddy bear,,teddy bears,,"object-1,position",84.383,white,,1,,teddy bears,,,3,2.0,
3U74KRR6800N1LQ7YAK07PFA046TNA,328_1,328,1,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/sdv2/00328/samples/00001.png,a photo of a white teddy bear,teddy bear,,teddy bears,,"object-1,position",16.395,black|white,,1,,teddy bear,,,4,3.0,
3U74KRR6800N1LQ7YAK07PFA046TNA,328_1,328,1,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/sdv2/00328/samples/00001.png,a photo of a white teddy bear,teddy bear,,teddy bears,,"object-1,position",34.461,white,,1,,teddy,,,4,3.0,
3AFT28WXMTHFASA85DL987D6FXVOI3,220_2,220,2,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/sdv2/00220/samples/00002.png,a photo of four donuts,donut,,donuts,,"object-1,position",168.457,pink|brown|white,,4,,Cake Donuts,,,3,2.0,
3AFT28WXMTHFASA85DL987D6FXVOI3,220_2,220,2,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/sdv2/00220/samples/00002.png,a photo of four donuts,donut,,donuts,,"object-1,position",30.538,pink|brown|white,,4,,donuts,,,4,3.0,
3AFT28WXMTHFASA85DL987D6FXVOI3,220_2,220,2,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/sdv2/00220/samples/00002.png,a photo of four donuts,donut,,donuts,,"object-1,position",36.368,pink|brown|white,,4,,donut,,,4,2.0,
3AFT28WXMTHFASA85DL987D6FXVOI3,220_2,220,2,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/sdv2/00220/samples/00002.png,a photo of four donuts,donut,,donuts,,"object-1,position",41.652,pink|brown|white,,4,,none,,,3,2.0,
3AFT28WXMTHFASA85DL987D6FXVOI3,220_2,220,2,https://huggingface.co/datasets/djghosh/aigen-images/resolve/main/images/sdv2/00220/samples/00002.png,a photo of four donuts,donut,,donuts,,"object-1,position",85.71,pink|brown|white,,4,,"white frosted donut, pink frosted donut with pink sprinkles, two chocolate frosted donuts with white sprinkles, table.",,,4,3.0,
